Numéro de support,Date de mise en service,Exploitant,Azimut,Hauteur / sol,Type service,Système,Début,Fin,Unité,Longitude,Latitude
38973,1995-05-31,SFR,120.0,54.0,TEL MOBILE,1.0,951.2,959.9,MHz,2.279166666666667,48.846944444444446
38973,2017-09-19,SFR,120.0,54.0,TEL MOBILE,6.0,1825.0,1845.0,MHz,2.279166666666667,48.846944444444446
38973,2017-09-19,SFR,120.0,54.0,TEL MOBILE,5.0,801.0,811.0,MHz,2.279166666666667,48.846944444444446
38973,2017-09-19,SFR,120.0,54.0,TEL MOBILE,2.0,951.2,959.9,MHz,2.279166666666667,48.846944444444446
38973,2017-12-15,SFR,120.0,54.0,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.279166666666667,48.846944444444446
38973,2022-01-13,SFR,120.0,54.0,TEL MOBILE,7.0,2110.5,2125.3,MHz,2.279166666666667,48.846944444444446
39047,1996-07-29,SFR,0.0,36.5,TEL MOBILE,1.0,951.2,959.9,MHz,2.3825,48.852222222222224
39047,1996-07-29,SFR,120.0,36.5,TEL MOBILE,1.0,951.2,959.9,MHz,2.3825,48.852222222222224
39047,1996-07-29,SFR,240.0,36.5,TEL MOBILE,1.0,951.2,959.9,MHz,2.3825,48.852222222222224
39047,2013-12-16,SFR,0.0,36.5,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.3825,48.852222222222224
39047,2013-12-16,SFR,120.0,36.5,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.3825,48.852222222222224
39047,2013-12-16,SFR,240.0,36.5,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.3825,48.852222222222224
39047,2014-02-10,SFR,0.0,36.5,TEL MOBILE,5.0,801.0,811.0,MHz,2.3825,48.852222222222224
39047,2014-02-10,SFR,120.0,36.5,TEL MOBILE,5.0,801.0,811.0,MHz,2.3825,48.852222222222224
39047,2014-02-10,SFR,240.0,36.5,TEL MOBILE,5.0,801.0,811.0,MHz,2.3825,48.852222222222224
39047,2014-06-13,SFR,0.0,36.5,TEL MOBILE,3.0,2110.5,2125.3,MHz,2.3825,48.852222222222224
39047,2014-06-13,SFR,120.0,36.5,TEL MOBILE,3.0,2110.5,2125.3,MHz,2.3825,48.852222222222224
39047,2014-06-13,SFR,240.0,36.5,TEL MOBILE,3.0,2110.5,2125.3,MHz,2.3825,48.852222222222224
39047,2015-02-25,SFR,0.0,36.5,TEL MOBILE,2.0,951.2,959.9,MHz,2.3825,48.852222222222224
39047,2015-02-25,SFR,120.0,36.5,TEL MOBILE,2.0,951.2,959.9,MHz,2.3825,48.852222222222224
39047,2015-02-25,SFR,240.0,36.5,TEL MOBILE,2.0,951.2,959.9,MHz,2.3825,48.852222222222224
39047,2018-07-13,SFR,0.0,36.5,TEL MOBILE,6.0,1825.0,1845.0,MHz,2.3825,48.852222222222224
39047,2018-07-13,SFR,120.0,36.5,TEL MOBILE,6.0,1825.0,1845.0,MHz,2.3825,48.852222222222224
39047,2018-07-13,SFR,240.0,36.5,TEL MOBILE,6.0,1825.0,1845.0,MHz,2.3825,48.852222222222224
39047,2018-07-20,SFR,0.0,36.5,TEL MOBILE,7.0,2110.5,2125.3,MHz,2.3825,48.852222222222224
39047,2018-07-20,SFR,120.0,36.5,TEL MOBILE,7.0,2110.5,2125.3,MHz,2.3825,48.852222222222224
39047,2018-07-20,SFR,240.0,36.5,TEL MOBILE,7.0,2110.5,2125.3,MHz,2.3825,48.852222222222224
39047,2020-10-28,SFR,0.0,36.5,TEL MOBILE,4.0,758.0,763.0,MHz,2.3825,48.852222222222224
39047,2020-10-28,SFR,120.0,36.5,TEL MOBILE,4.0,758.0,763.0,MHz,2.3825,48.852222222222224
39047,2020-10-28,SFR,240.0,36.5,TEL MOBILE,4.0,758.0,763.0,MHz,2.3825,48.852222222222224
39047,2021-03-19,SFR,0.0,37.5,TEL MOBILE,9.0,3490.0,3570.0,MHz,2.3825,48.852222222222224
39047,2021-03-19,SFR,120.0,37.5,TEL MOBILE,9.0,3490.0,3570.0,MHz,2.3825,48.852222222222224
39047,2021-03-19,SFR,240.0,37.5,TEL MOBILE,9.0,3490.0,3570.0,MHz,2.3825,48.852222222222224
39207,1998-06-04,SFR,0.0,30.0,TEL MOBILE,1.0,951.2,959.9,MHz,2.330277777777778,48.84722222222222
39207,1998-06-04,SFR,120.0,30.0,TEL MOBILE,1.0,951.2,959.9,MHz,2.330277777777778,48.84722222222222
39207,1998-06-04,SFR,240.0,30.0,TEL MOBILE,1.0,951.2,959.9,MHz,2.330277777777778,48.84722222222222
39207,2012-07-03,SFR,0.0,30.0,TEL MOBILE,3.0,2110.5,2125.3,MHz,2.330277777777778,48.84722222222222
39207,2012-07-03,SFR,120.0,30.0,TEL MOBILE,3.0,2110.5,2125.3,MHz,2.330277777777778,48.84722222222222
39207,2012-07-03,SFR,240.0,30.0,TEL MOBILE,3.0,2110.5,2125.3,MHz,2.330277777777778,48.84722222222222
39207,2013-12-09,SFR,0.0,30.0,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.330277777777778,48.84722222222222
39207,2013-12-09,SFR,120.0,30.0,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.330277777777778,48.84722222222222
39207,2013-12-09,SFR,240.0,30.0,TEL MOBILE,8.0,2620.0,2635.0,MHz,2.330277777777778,48.84722222222222
39207,2014-03-05,SFR,0.0,30.0,TEL MOBILE,5.0,801.0,811.0,MHz,2.330277777777778,48.84722222222222
39207,2014-03-05,SFR,120.0,30.0,TEL MOBILE,5.0,801.0,811.0,MHz,2.330277777777778,48.84722222222222
39207,2014-03-05,SFR,240.0,30.0,TEL MOBILE,5.0,801.0,811.0,MHz,2.330277777777778,48.84722222222222
39207,2014-07-21,SFR,0.0,30.0,TEL MOBILE,2.0,951.2,959.9,MHz,2.330277777777778,48.84722222222222
39207,2014-07-21,SFR,120.0,30.0,TEL MOBILE,2.0,951.2,959.9,MHz,2.330277777777778,48.84722222222222
39207,2014-07-21,SFR,240.0,30.0,TEL MOBILE,2.0,951.2,959.9,MHz,2.330277777777778,48.84722222222222
